Date,Open,High,Low,Close,Volume
2020-01-02,1.10172,1.10316,1.09948,1.10044,665
2020-01-02,1.10044,1.10388,1.09839,1.10325,958
2020-01-02,1.10325,1.10569,1.10238,1.10433,869
2020-01-02,1.10433,1.10524,1.10364,1.10368,817
2020-01-02,1.10368,1.10452,1.10346,1.10397,729
2020-01-03,1.10397,1.10515,1.10154,1.10257,637
2020-01-03,1.10257,1.10329,1.10174,1.10323,1157
2020-01-03,1.10323,1.10423,1.10314,1.10356,935
2020-01-03,1.10356,1.10365,1.10242,1.10276,1053
2020-01-03,1.10276,1.10301,1.10242,1.10246,1075
2020-01-03,1.10246,1.10264,1.10054,1.10138,741
2020-01-03,1.10138,1.10238,1.101,1.10157,1001
2020-01-03,1.10157,1.10196,1.10081,1.10136,1374
2020-01-03,1.10136,1.10144,1.10101,1.10114,912
2020-01-03,1.10114,1.10134,1.09844,1.10015,631
2020-01-03,1.10015,1.10115,1.09986,1.10065,603
2020-01-03,1.10065,1.10085,1.09969,1.10022,780
2020-01-03,1.10022,1.10428,1.09898,1.10308,824
2020-01-03,1.10308,1.10313,1.10278,1.10312,1243
2020-01-03,1.10312,1.10331,1.1019,1.10265,540
2020-01-03,1.10265,1.10319,1.10171,1.10179,1246
2020-01-03,1.10179,1.10303,1.10001,1.10289,839
2020-01-03,1.10289,1.10317,1.10141,1.10216,958
2020-01-03,1.10216,1.10248,1.10048,1.1013,965
2020-01-03,1.1013,1.10178,1.10058,1.10101,1289
2020-01-03,1.10101,1.10122,1.09986,1.10013,449
2020-01-03,1.10013,1.10162,1.09978,1.10152,1694
2020-01-03,1.10152,1.10196,1.10149,1.10169,1172
2020-01-03,1.10169,1.10267,1.10102,1.10263,786
2020-01-04,1.10263,1.10344,1.10166,1.10168,849
2020-01-04,1.10168,1.10201,1.1014,1.10174,943
2020-01-04,1.10174,1.10231,1.10089,1.10134,1063
2020-01-04,1.10134,1.10175,1.10106,1.10129,1051
2020-01-04,1.10129,1.10221,1.09743,1.09886,756
2020-01-04,1.09886,1.10102,1.09738,1.10082,1172
2020-01-04,1.10082,1.10149,1.09933,1.1004,1075
2020-01-04,1.1004,1.10087,1.09927,1.09955,840
2020-01-04,1.09955,1.10062,1.09791,1.09894,1230
2020-01-04,1.09894,1.09943,1.09834,1.09853,1509
2020-01-04,1.09853,1.09922,1.09784,1.09906,1051
2020-01-04,1.09906,1.09907,1.09745,1.09805,1327
2020-01-04,1.09805,1.09833,1.09796,1.09821,1550
2020-01-04,1.09821,1.09935,1.09742,1.09864,1076
2020-01-04,1.09864,1.10375,1.09842,1.10265,909
2020-01-04,1.10265,1.10338,1.1019,1.10309,413
2020-01-04,1.10309,1.10327,1.10274,1.10294,1647
2020-01-04,1.10294,1.10469,1.10257,1.10386,1091
2020-01-04,1.10386,1.10395,1.10331,1.10362,1184
2020-01-04,1.10362,1.10404,1.10295,1.10397,774
2020-01-04,1.10397,1.1046,1.10357,1.10441,1108
2020-01-04,1.10441,1.10497,1.10261,1.10334,890
2020-01-04,1.10334,1.10558,1.10243,1.10499,1344
2020-01-04,1.10499,1.10512,1.10049,1.1025,858
2020-01-05,1.1025,1.10293,1.10237,1.10238,1499
2020-01-05,1.10238,1.10241,1.10172,1.10178,1287
2020-01-05,1.10178,1.10197,1.10161,1.10172,573
2020-01-05,1.10172,1.10393,1.10128,1.10316,1083
2020-01-05,1.10316,1.10342,1.10195,1.10247,760
2020-01-05,1.10247,1.10364,1.10041,1.10157,1088
2020-01-05,1.10157,1.10229,1.10072,1.10218,865
2020-01-05,1.10218,1.10243,1.1017,1.10227,924
2020-01-05,1.10227,1.10275,1.102,1.10254,801
2020-01-05,1.10254,1.10293,1.10231,1.10263,817
2020-01-05,1.10263,1.10282,1.10181,1.10217,621
2020-01-05,1.10217,1.10307,1.10182,1.10258,709
2020-01-05,1.10258,1.10322,1.10128,1.10134,699
2020-01-05,1.10134,1.10164,1.10131,1.10158,1081
2020-01-05,1.10158,1.10315,1.10158,1.10258,991
2020-01-05,1.10258,1.10315,1.09911,1.10024,783
2020-01-05,1.10024,1.10029,1.09955,1.09973,1145
2020-01-05,1.09973,1.10021,1.09866,1.09894,882
2020-01-05,1.09894,1.09918,1.09879,1.09892,1209
2020-01-05,1.09892,1.09943,1.09816,1.09904,1136
2020-01-05,1.09904,1.10109,1.09655,1.09723,584
2020-01-05,1.09723,1.09792,1.09278,1.09455,1300
2020-01-05,1.09455,1.09527,1.09408,1.09412,822
2020-01-05,1.09412,1.09427,1.09411,1.0942,1120
2020-01-06,1.0942,1.09657,1.09087,1.09173,1195
2020-01-06,1.09173,1.09185,1.09071,1.09083,525
2020-01-06,1.09083,1.09158,1.09028,1.09126,370
2020-01-06,1.09126,1.09181,1.09047,1.09054,994
2020-01-06,1.09054,1.09312,1.09024,1.09235,1048
2020-01-06,1.09235,1.09407,1.08736,1.08911,966
2020-01-06,1.08911,1.08957,1.08868,1.08947,792
2020-01-06,1.08947,1.08987,1.08947,1.08981,1096
2020-01-06,1.08981,1.08991,1.08948,1.0895,1306
2020-01-06,1.0895,1.0896,1.08848,1.08937,1187
2020-01-06,1.08937,1.09055,1.0888,1.08994,1212
2020-01-06,1.08994,1.09109,1.08926,1.09078,1235
2020-01-06,1.09078,1.09273,1.09037,1.09212,836
2020-01-06,1.09212,1.09364,1.09085,1.09351,1032
2020-01-06,1.09351,1.09434,1.0921,1.09238,344
2020-01-06,1.09238,1.09289,1.09178,1.09195,810
2020-01-06,1.09195,1.09304,1.09101,1.09267,1270
2020-01-06,1.09267,1.09347,1.09254,1.09308,1090
2020-01-06,1.09308,1.09322,1.09274,1.0931,1170
2020-01-06,1.0931,1.09321,1.09307,1.09311,910
2020-01-06,1.09311,1.09373,1.09298,1.0934,1097
2020-01-06,1.0934,1.09369,1.09253,1.09254,617
2020-01-06,1.09254,1.09466,1.09246,1.09384,608
2020-01-06,1.09384,1.09466,1.09016,1.0919,381
2020-01-07,1.0919,1.09252,1.09158,1.09166,1545
2020-01-07,1.09166,1.09184,1.09094,1.09122,1073
2020-01-07,1.09122,1.09174,1.09106,1.09109,1105
2020-01-07,1.09109,1.09165,1.09098,1.09121,1016
2020-01-07,1.09121,1.09237,1.09022,1.09193,435
2020-01-07,1.09193,1.09221,1.09081,1.09131,1122
2020-01-07,1.09131,1.09136,1.0907,1.09123,715
2020-01-07,1.09123,1.09137,1.09096,1.09115,965
2020-01-07,1.09115,1.09161,1.09013,1.09084,798
2020-01-07,1.09084,1.09194,1.09023,1.09157,830
2020-01-07,1.09157,1.09193,1.09024,1.09046,300
2020-01-07,1.09046,1.09139,1.08689,1.08756,920
2020-01-07,1.08756,1.0885,1.08623,1.08801,1267
2020-01-07,1.08801,1.08972,1.08596,1.08945,1069
2020-01-07,1.08945,1.08971,1.08877,1.08884,1198
2020-01-07,1.08884,1.08912,1.08786,1.08787,776
2020-01-07,1.08787,1.08819,1.08635,1.08736,936
2020-01-07,1.08736,1.0891,1.08703,1.08827,1097
2020-01-07,1.08827,1.08952,1.08792,1.08891,1042
2020-01-07,1.08891,1.09129,1.08837,1.09036,882
2020-01-07,1.09036,1.09101,1.09001,1.09065,454
2020-01-07,1.09065,1.0919,1.08911,1.08921,1029
2020-01-07,1.08921,1.08931,1.08732,1.08772,1273
2020-01-07,1.08772,1.0878,1.08749,1.08762,1272
2020-01-08,1.08762,1.08788,1.08328,1.08589,1505
2020-01-08,1.08589,1.08854,1.08548,1.08691,581
2020-01-08,1.08691,1.08742,1.08386,1.08496,1305
2020-01-08,1.08496,1.08559,1.08433,1.08438,1117
2020-01-08,1.08438,1.08562,1.08331,1.08527,754
2020-01-08,1.08527,1.08559,1.08478,1.08506,896
2020-01-08,1.08506,1.08518,1.08496,1.08497,553
2020-01-08,1.08497,1.08807,1.08393,1.08726,470
2020-01-08,1.08726,1.08772,1.08705,1.08715,1349
2020-01-08,1.08715,1.08808,1.0864,1.08781,940
2020-01-08,1.08781,1.08782,1.08759,1.08774,1119
2020-01-08,1.08774,1.08944,1.08524,1.08637,778
2020-01-08,1.08637,1.08652,1.08573,1.08596,646
2020-01-08,1.08596,1.08634,1.08552,1.08573,864
2020-01-08,1.08573,1.08605,1.08476,1.08542,555
2020-01-08,1.08542,1.08703,1.08537,1.08621,787
2020-01-08,1.08621,1.08801,1.08527,1.08754,460
2020-01-08,1.08754,1.08791,1.08699,1.08738,1166
2020-01-08,1.08738,1.08848,1.0872,1.08816,1401
2020-01-08,1.08816,1.08895,1.08786,1.08887,1028
2020-01-08,1.08887,1.08938,1.0872,1.08746,1178
2020-01-08,1.08746,1.08823,1.08556,1.08612,549
2020-01-08,1.08612,1.0877,1.08501,1.08732,350
2020-01-08,1.08732,1.08862,1.08538,1.08641,457
2020-01-09,1.08641,1.08723,1.08617,1.08663,712
2020-01-09,1.08663,1.08745,1.08649,1.08722,1110
2020-01-09,1.08722,1.08894,1.08626,1.08812,1309
2020-01-09,1.08812,1.0888,1.08775,1.08794,552
2020-01-09,1.08794,1.09219,1.08514,1.09043,450
2020-01-09,1.09043,1.09099,1.09013,1.09085,1080
2020-01-09,1.09085,1.09142,1.08947,1.08997,551
2020-01-09,1.08997,1.09135,1.08925,1.09096,921
